isin,words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry,market_cap_2024,Market_Cap_Cat,words_pos_500,words_neg_500,nums_500,tables_500,imgsize_500,abs_affected,abs_biodiversity,abs_climate,abs_conduct,abs_consumers,abs_governance,abs_oth,abs_ownworkforce,abs_pollution,abs_waste,abs_water,abs_workersvalchain,rel_affected,rel_biodiversity,rel_climate,rel_conduct,rel_consumers,rel_governance,rel_oth,rel_ownworkforce,rel_pollution,rel_waste,rel_water,rel_workersvalchain,abs_oenworkforce,rel_oenworkforce
AT00000AMAG3,654.0,713.0,530.0,55.0,424564.0,64253.0,3401.76,-1578.58,17079.0,2053.2,1689.0,61.0,0.6760688365306311,232760.0,1150.0,14260.0,115.0,AMAG Austria Metall,Austria,EY,Metals & Mining,876127027.2,1.0,5.089256532768898,5.548379064012575,13.143355174077476,0.4746860068790562,0.0052609904325917,1428.0,880.0,3430.0,294.0,2120.0,10981.0,1756.0,2927.0,121.0,1524.0,1250.0,2727.0,0.0485087302126503,0.0298933351450506,0.1165160676676404,0.0099870915143691,0.0720157619403492,0.3730212650315918,0.0596507914939873,0.0994293090563217,0.0041103335824444,0.0517698213193831,0.0424621237855832,0.0926353692506284,0.0,0.0
AT0000606306,2059.0,1733.0,1472.0,769.0,1229387.0,198475.0,9484.03,-3771.82,39257.0,7434.7,16118.0,267.0,0.0966749267416435,696256.0,25456.0,143448.0,344.0,Raiffeisen Bank International,Austria,Deloitte,Commercial Banks,6714497007.3,3.0,5.1870512659025065,4.365789142209346,40.60461015241214,0.6726287945585087,0.0002435443424654,11154.0,2416.0,5876.0,2542.0,10720.0,29813.0,2725.0,7515.0,1486.0,3913.0,513.0,4904.0,0.1334577694820345,0.028907474544432,0.0703064240161767,0.0304150663460042,0.1282649532766191,0.3567129712720007,0.0326046639625734,0.0899170824509135,0.0177800112471134,0.0468191009488256,0.0061380523349725,0.0586764301183339,0.0,0.0
AT0000609607,770.0,688.0,541.0,65.0,450431.0,68197.0,2530.79,2422.15,17647.0,2096.8,2366.0,60.0,2.3743426327501527,275264.0,2992.0,21352.0,136.0,PORR,Austria,EY,Engineering & Construction Services,698795839.85,1.0,5.6454096221241405,5.044210155871959,17.34680411161781,0.4399020484772057,0.0174079697988925,1853.0,1735.0,3499.0,683.0,2022.0,8018.0,1605.0,5429.0,251.0,5348.0,1043.0,3124.0,0.0535394394683617,0.0501300202253683,0.1010979485697775,0.0197341808725801,0.0584224212655301,0.2316671482230569,0.0463738803813926,0.1568621785611095,0.0072522392372146,0.1545218145044784,0.0301357989020514,0.0902629297890783,0.0,0.0
AT0000644505,210.0,246.0,22.0,124.0,907019.0,120791.0,4036.35,4072.18,34378.0,3185.4,5063.0,206.0,0.4002836868137819,406824.0,9246.0,49446.0,201.0,Lenzing,Austria,KPMG,Chemicals,1179337428.1,1.0,0.8692700615112053,1.0182877863416977,20.95768724491063,0.8527125365300395,0.001656926785993,114.0,175.0,235.0,0.0,182.0,243.0,6325.0,34.0,0.0,84.0,0.0,125.0,0.0151656245842756,0.0232805640548091,0.0312624717307436,0.0,0.0242117866170014,0.0323267260875349,0.8414261008381003,0.0045230810163629,0.0,0.0111746707463083,0.0,0.0166289743248636,0.0,0.0
AT0000652011,1349.0,884.0,853.0,254.0,719443.0,119292.0,17503.42,-31264.64,22035.0,1960.6,9696.0,198.0,0.1210888980549736,429088.0,20776.0,65508.0,212.0,Erste Group Bank,Austria,PwC,Commercial Banks,23970688014.0,4.0,5.654193072460853,3.705193977802367,40.63977467055628,0.8298963886932904,0.0005075315111448,5759.0,1405.0,7842.0,4499.0,4137.0,11083.0,3061.0,7170.0,198.0,1697.0,304.0,1610.0,0.1180969957961652,0.0288116476981441,0.1608120578283605,0.0922587921665128,0.084835435250692,0.2272736593868553,0.0627704296114016,0.1470316825592125,0.0040602891418025,0.034799548856762,0.006233979288424,0.0330154824156669,0.0,0.0
AT0000720008,580.0,551.0,396.0,69.0,292841.0,45007.0,2020.52,379.29,10867.0,1462.9,1586.0,53.0,1.139083157246841,178112.0,2992.0,10648.0,88.0,Telekom Austria (A1 Telekom Austria),Austria,EY,Telecommunication Services,5472186594.1,3.0,6.443442131224032,6.121270024662831,17.619481414002266,0.5887972981980581,0.0126545110454689,948.0,1140.0,2591.0,487.0,1425.0,5545.0,1163.0,4393.0,80.0,917.0,211.0,2735.0,0.0438178876819967,0.0526923965796163,0.1197596487173561,0.022509822047608,0.0658654957245204,0.2562976658192743,0.0537554887913103,0.2030506124335567,0.0036977120406748,0.0423850242662352,0.0097527155072798,0.1264155303905708,0.0,0.0
AT0000743059,1873.0,2775.0,1290.0,278.0,1116479.0,165449.0,5525.19,6014.23,42715.0,5616.8,5805.0,261.0,4.476620940546629,663872.0,31488.0,138744.0,328.0,OMV,Austria,KPMG,Oil & Gas – Refining & Marketing,12648304410.0,3.0,5.6603545503448185,8.386270089272223,17.543170402964055,0.7887627002883063,0.0135287035296273,6521.0,2977.0,10109.0,2105.0,5958.0,19258.0,2919.0,11505.0,2033.0,5936.0,1752.0,13380.0,0.0772145453684297,0.0352503759487525,0.1196997146341752,0.0249251062721276,0.0705481155198749,0.2280321598995891,0.0345636034243898,0.1362296188412489,0.0240725610694705,0.0702876155968408,0.0207452665979894,0.1584313168271109,0.0,0.0
AT0000746409,743.0,1063.0,678.0,88.0,551793.0,82646.0,4203.45,1002.36,21551.0,3255.5,2638.0,90.0,0.0448129233811171,388608.0,29952.0,66624.0,192.0,Verbund,Austria,EY,Electric Utilities & Power Generators,12335813822.0,3.0,4.495075381748663,6.431043244682138,15.959635070057836,0.54449096145004,0.0002711136859685,2826.0,3657.0,5623.0,1807.0,3929.0,8372.0,2307.0,4806.0,406.0,2515.0,1513.0,3114.0,0.069137614678899,0.0894678899082568,0.137565749235474,0.0442079510703363,0.0961223241590214,0.2048195718654434,0.056440366972477,0.1175779816513761,0.0099327217125382,0.0615290519877675,0.0370152905198776,0.0761834862385321,0.0,0.0
AT0000758305,539.0,713.0,410.0,150.0,295971.0,43866.0,2024.45,1722.43,11934.0,1902.7,1517.0,36.0,0.0,222640.0,4950.0,16940.0,110.0,Palfinger,Austria,PwC,Industrial Machinery & Goods,708293656.35,1.0,6.143710390735421,8.12702320703962,17.2912962203073,0.4103405826836274,0.0,1096.0,650.0,2167.0,432.0,1761.0,5294.0,1016.0,4415.0,130.0,1725.0,760.0,3185.0,0.0484291458618708,0.0287216649728248,0.09575361230171,0.0190888604127082,0.0778136184879148,0.2339269144094383,0.0448941717113693,0.1950863859308028,0.0057443329945649,0.0762228801201891,0.0335822544297644,0.1407361583668419,0.0,0.0
AT0000785555,771.0,1124.0,698.0,124.0,516003.0,78083.0,2881.6,1108.75,20230.0,2415.9,3041.0,109.0,0.0,271216.0,9782.0,27604.0,134.0,Semperit,Austria,EY,Industrial Machinery & Goods,252163807.5,1.0,4.9370541603165865,7.197469359527682,19.472868614166977,0.6979752314844461,0.0,2033.0,1087.0,2876.0,817.0,2407.0,10727.0,1286.0,5247.0,960.0,5312.0,1087.0,5418.0,0.0517869424561224,0.0276893292915913,0.0732608197264182,0.0208115750057314,0.0613139058002394,0.2732506304608095,0.0327584889319102,0.1336576916218763,0.024454237460835,0.135313447283287,0.0276893292915913,0.1380136026695876,0.0,0.0
