isin,words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry,market_cap_2024,Market_Cap_Cat,words_pos_500,words_neg_500,nums_500,tables_500,imgsize_500,abs_affected,abs_biodiversity,abs_climate,abs_conduct,abs_consumers,abs_governance,abs_oth,abs_ownworkforce,abs_pollution,abs_waste,abs_water,abs_workersvalchain,rel_affected,rel_biodiversity,rel_climate,rel_conduct,rel_consumers,rel_governance,rel_ownworkforce,rel_pollution,rel_waste,rel_water,rel_workersvalchain,imgsize_sum,boilergrams,imgsize_pages,imgsize_words500,imgsize_pages_words500,boiler_500,fog_avg,num_o_seit,num_o_seit_500
AT00000AMAG3,654.0,713.0,530.0,55.0,424564.0,64253.0,3401.76,-1578.58,17079.0,2053.2,1689.0,61.0,0.6760688365306311,232760.0,1150.0,14260.0,115.0,AMAG Austria Metall,Austria,EY,Metals & Mining,876127027.2,1.0,5.089256532768898,5.548379064012575,13.143355174077476,0.4746860068790562,0.0052609904325917,1428.0,880.0,3430.0,294.0,2120.0,10981.0,1756.0,2927.0,121.0,1524.0,1250.0,2727.0,0.0515858680731161,0.03178961057727043,0.12390723213640632,0.010620619897406256,0.0765840618452424,0.3966837656238711,0.10573657972689834,0.0043710714543746835,0.05505382559063651,0.04515569684271368,0.09851166823206416,0.6760688365306311,21.0,0.0058788594480924,0.0052609904325917,4.574774289210188e-05,0.1634164941714783,29.58052173913044,1574.0,12.248455325043189
AT0000606306,2059.0,1733.0,1472.0,769.0,1229387.0,198475.0,9484.03,-3771.82,39257.0,7434.7,16118.0,267.0,0.0966749267416435,696256.0,25456.0,143448.0,344.0,Raiffeisen Bank International,Austria,Deloitte,Commercial Banks,6714497007.3,3.0,5.1870512659025065,4.365789142209346,40.60461015241214,0.6726287945585087,0.0002435443424654,11154.0,2416.0,5876.0,2542.0,10720.0,29813.0,2725.0,7515.0,1486.0,3913.0,513.0,4904.0,0.13795577103844062,0.029881759263840103,0.07267600059367733,0.03144016227180527,0.13258793845544947,0.36873546727353684,0.09294760797506556,0.01837926087171622,0.04839707119180725,0.0063449265324296246,0.06065403453223173,0.0966749267416435,497.0,0.0002810317637838,0.0002435443424654,7.079777397250218e-07,1.252046857286812,27.569854651162792,15774.0,39.73800226728808
AT0000609607,770.0,688.0,541.0,65.0,450431.0,68197.0,2530.79,2422.15,17647.0,2096.8,2366.0,60.0,2.3743426327501527,275264.0,2992.0,21352.0,136.0,PORR,Austria,EY,Engineering & Construction Services,698795839.85,1.0,5.6454096221241405,5.044210155871959,17.34680411161781,0.4399020484772057,0.0174079697988925,1853.0,1735.0,3499.0,683.0,2022.0,8018.0,1605.0,5429.0,251.0,5348.0,1043.0,3124.0,0.056143008635055294,0.052567792758672925,0.10601424026662627,0.02069383426753522,0.061263444932585974,0.24293288895621876,0.1644902287532192,0.007604908347220118,0.16203605514316013,0.03160127253446447,0.09465232540524163,2.3743426327501527,119.0,0.0174584017113981,0.0174079697988925,0.000127999777933,0.872472396146458,18.60875,2230.0,16.349692801736147
AT0000644505,210.0,246.0,22.0,124.0,907019.0,120791.0,4036.35,4072.18,34378.0,3185.4,5063.0,206.0,0.4002836868137819,406824.0,9246.0,49446.0,201.0,Lenzing,Austria,KPMG,Chemicals,1179337428.1,1.0,0.8692700615112053,1.0182877863416977,20.95768724491063,0.8527125365300395,0.001656926785993,114.0,175.0,235.0,0.0,182.0,243.0,6325.0,34.0,0.0,84.0,0.0,125.0,0.09563758389261745,0.14681208053691275,0.19714765100671142,0.0,0.15268456375838926,0.20385906040268456,0.028523489932885907,0.0,0.07046979865771812,0.0,0.10486577181208054,0.4002836868137819,0.0,0.0019914611284267,0.001656926785993,8.243416845736752e-06,0.0,20.08134328358209,4862.0,20.12567161460705
AT0000652011,1349.0,884.0,853.0,254.0,719443.0,119292.0,17503.42,-31264.64,22035.0,1960.6,9696.0,198.0,0.1210888980549736,429088.0,20776.0,65508.0,212.0,Erste Group Bank,Austria,PwC,Commercial Banks,23970688014.0,4.0,5.654193072460853,3.705193977802367,40.63977467055628,0.8298963886932904,0.0005075315111448,5759.0,1405.0,7842.0,4499.0,4137.0,11083.0,3061.0,7170.0,198.0,1697.0,304.0,1610.0,0.12600647645720287,0.030741291790652898,0.17158235603010677,0.09843777349903729,0.09051724137931035,0.24249518641694381,0.1568790477857518,0.004332224750568878,0.037130229301592856,0.006651496586732014,0.03522667600210047,0.1210888980549736,387.0,0.0005711740474291,0.0005075315111448,2.3940165620038256e-06,1.6220702142641583,82.56330188679244,9484.0,39.75119873922811
AT0000720008,580.0,551.0,396.0,69.0,292841.0,45007.0,2020.52,379.29,10867.0,1462.9,1586.0,53.0,1.139083157246841,178112.0,2992.0,10648.0,88.0,Telekom Austria (A1 Telekom Austria),Austria,EY,Telecommunication Services,5472186594.1,3.0,6.443442131224032,6.121270024662831,17.619481414002266,0.5887972981980581,0.0126545110454689,948.0,1140.0,2591.0,487.0,1425.0,5545.0,1163.0,4393.0,80.0,917.0,211.0,2735.0,0.04630715123094959,0.05568581477139507,0.12656311059007425,0.02378858929269246,0.06960726846424385,0.27085775693630326,0.21458577569363033,0.003907776475185619,0.04479288784681516,0.010306760453302071,0.13359710824540835,1.139083157246841,230.0,0.0129441267868959,0.0126545110454689,0.0001438012618803,2.555158086519875,22.960454545454542,1498.0,16.641855711333793
AT0000743059,1873.0,2775.0,1290.0,278.0,1116479.0,165449.0,5525.19,6014.23,42715.0,5616.8,5805.0,261.0,4.476620940546629,663872.0,31488.0,138744.0,328.0,OMV,Austria,KPMG,Oil & Gas – Refining & Marketing,12648304410.0,3.0,5.6603545503448185,8.386270089272223,17.543170402964055,0.7887627002883063,0.0135287035296273,6521.0,2977.0,10109.0,2105.0,5958.0,19258.0,2919.0,11505.0,2033.0,5936.0,1752.0,13380.0,0.07997890450609561,0.03651237520543577,0.12398508597640248,0.02581745038879486,0.07307380969902126,0.23619594279687,0.1411067775406579,0.024934383202099737,0.07280398361419776,0.02148796820958128,0.16410331886084334,4.476620940546629,333.0,0.0136482345748372,0.0135287035296273,4.124604734642483e-05,1.006352410712667,16.845091463414633,5477.0,16.551928388808633
AT0000746409,743.0,1063.0,678.0,88.0,551793.0,82646.0,4203.45,1002.36,21551.0,3255.5,2638.0,90.0,0.0448129233811171,388608.0,29952.0,66624.0,192.0,Verbund,Austria,EY,Electric Utilities & Power Generators,12335813822.0,3.0,4.495075381748663,6.431043244682138,15.959635070057836,0.54449096145004,0.0002711136859685,2826.0,3657.0,5623.0,1807.0,3929.0,8372.0,2307.0,4806.0,406.0,2515.0,1513.0,3114.0,0.07327317983820784,0.09481953951462352,0.14579444098734703,0.04685231279817465,0.10187201825347439,0.21707114706492428,0.1246110765401369,0.01052686164696121,0.06520950010371292,0.039229412984857916,0.08074051026757934,0.0448129233811171,408.0,0.0002334006426099,0.0002711136859685,1.412050447752976e-06,2.468359025240181,21.89296875,2446.0,14.798054352297752
AT0000758305,539.0,713.0,410.0,150.0,295971.0,43866.0,2024.45,1722.43,11934.0,1902.7,1517.0,36.0,0.0,222640.0,4950.0,16940.0,110.0,Palfinger,Austria,PwC,Industrial Machinery & Goods,708293656.35,1.0,6.143710390735421,8.12702320703962,17.2912962203073,0.4103405826836274,0.0,1096.0,650.0,2167.0,432.0,1761.0,5294.0,1016.0,4415.0,130.0,1725.0,760.0,3185.0,0.050705528568123985,0.030071709461022438,0.10025445292620865,0.019986120749479527,0.08147120055517001,0.24492250751792735,0.2042563034929447,0.006014341892204488,0.0798056904927134,0.03516076798519547,0.14735137635900994,0.0,231.0,0.0,0.0,0.0,2.633018738886609,18.40409090909091,1407.0,16.037477773218438
AT0000785555,771.0,1124.0,698.0,124.0,516003.0,78083.0,2881.6,1108.75,20230.0,2415.9,3041.0,109.0,0.0,271216.0,9782.0,27604.0,134.0,Semperit,Austria,EY,Industrial Machinery & Goods,252163807.5,1.0,4.9370541603165865,7.197469359527682,19.472868614166977,0.6979752314844461,0.0,2033.0,1087.0,2876.0,817.0,2407.0,10727.0,1286.0,5247.0,960.0,5312.0,1087.0,5418.0,0.05354086013009929,0.028627110163019148,0.07574201364198994,0.021516420426114666,0.06339048221010771,0.28250506965842354,0.13818440388717707,0.025282452397882595,0.139896236601617,0.028627110163019148,0.14268784072054988,0.0,304.0,0.0,0.0,0.0,1.9466465171676293,21.5044776119403,2907.0,18.61480732041545
AT0000831706,601.0,679.0,422.0,87.0,353786.0,52341.0,2419.4,308.43,14844.0,2089.7,1400.0,83.0,0.0,222640.0,8580.0,20570.0,110.0,Wienerberger,Austria,Deloitte,Construction Materials,3056880497.3,2.0,5.741197149462181,6.486310922603695,13.373836953822051,0.7928774765480217,0.0,1470.0,1486.0,3785.0,506.0,1423.0,5442.0,695.0,4249.0,678.0,3218.0,1038.0,3061.0,0.05577477614205494,0.05638184853543785,0.14361056305964487,0.019198664440734557,0.05399150098649264,0.20648049779936256,0.16121566246774927,0.02572469266960085,0.12209743511913795,0.039383821520716344,0.11614053725906814,0.0,220.0,0.0,0.0,0.0,2.1016029498863222,21.994545454545456,1290.0,12.32303547887889
