isin,words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year_x,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry,market_cap_2024,Market_Cap_Cat,words_pos_500,words_neg_500,nums_500,tables_500,imgsize_500,year_y,affected,biodiversity,climate,conduct,consumers,governance,oth,ownworkforce,pollution,waste,water,workersvalchain,total_weighted,affected_pct,biodiversity_pct,climate_pct,conduct_pct,consumers_pct,governance_pct,oth_pct,ownworkforce_pct,pollution_pct,waste_pct,water_pct,workersvalchain_pct
AT00000AMAG3,654.0,713.0,530.0,55.0,424564.0,64253.0,3401.76,-1578.58,17079.0,2053.2,1689.0,61.0,0.6760688365306311,232760.0,1150.0,14260.0,115.0,AMAG Austria Metall,Austria,EY,Metals & Mining,876127027.2,1.0,5.089256532768898,5.548379064012575,13.143355174077476,0.4746860068790562,0.0052609904325917,2024.0,2456.0024054944515,894.1230925917625,4099.877729833126,2182.590954065323,3632.1408768594265,15761.373865395784,0.0,0.0,0.0,0.0,0.0,0.0,29026.10892423988,0.0846135598782732,0.0308040976117565,0.1412479275308339,0.0751940592437668,0.1251335784048617,0.5430067773305076,0.0,0.0,0.0,0.0,0.0,0.0
AT0000606306,2059.0,1733.0,1472.0,769.0,1229387.0,198475.0,9484.03,-3771.82,39257.0,7434.7,16118.0,267.0,0.0966749267416435,696256.0,25456.0,143448.0,344.0,Raiffeisen Bank International,Austria,Deloitte,Commercial Banks,6714497007.3,3.0,5.1870512659025065,4.365789142209346,40.60461015241214,0.6726287945585087,0.0002435443424654,2024.0,12054.114683032036,2109.324542284012,5690.812868237495,5175.15093678236,13094.213629454374,43994.54734995961,0.0,0.0,0.0,0.0,0.0,0.0,82118.16400974989,0.1467898707720846,0.025686455216334,0.0693002935082891,0.0630207822981516,0.1594557524191566,0.535746845785984,0.0,0.0,0.0,0.0,0.0,0.0
AT0000609607,770.0,688.0,541.0,65.0,450431.0,68197.0,2530.79,2422.15,17647.0,2096.8,2366.0,60.0,2.3743426327501527,275264.0,2992.0,21352.0,136.0,PORR,Austria,EY,Engineering & Construction Services,698795839.85,1.0,5.6454096221241405,5.044210155871959,17.34680411161781,0.4399020484772057,0.0174079697988925,2024.0,1991.7388532161715,1802.745065808296,3565.0286194086075,1817.669385313988,2092.181215107441,12850.438139140606,0.0,0.0,0.0,0.0,0.0,0.0,24119.80127799511,0.0825769180375987,0.0747412901553616,0.1478050576917912,0.0753600481349022,0.0867412293738992,0.5327754566064469,0.0,0.0,0.0,0.0,0.0,0.0
AT0000644505,210.0,246.0,22.0,124.0,907019.0,120791.0,4036.35,4072.18,34378.0,3185.4,5063.0,206.0,0.4002836868137819,406824.0,9246.0,49446.0,201.0,Lenzing,Austria,KPMG,Chemicals,1179337428.1,1.0,0.8692700615112053,1.0182877863416977,20.95768724491063,0.8527125365300395,0.001656926785993,2024.0,72.60648041963577,76.02499240636826,133.92707645893097,0.0,132.01954782009125,146.24565190076828,0.0,0.0,0.0,0.0,0.0,0.0,560.8237490057945,0.1294639903327018,0.1355595096340735,0.2388042173612501,0.0,0.2354029194628974,0.260769363209077,0.0,0.0,0.0,0.0,0.0,0.0
AT0000652011,1349.0,884.0,853.0,254.0,719443.0,119292.0,17503.42,-31264.64,22035.0,1960.6,9696.0,198.0,0.1210888980549736,429088.0,20776.0,65508.0,212.0,Erste Group Bank,Austria,PwC,Commercial Banks,23970688014.0,4.0,5.654193072460853,3.705193977802367,40.63977467055628,0.8298963886932904,0.0005075315111448,2024.0,6989.1104936003685,1552.790444791317,6962.54730078578,5216.745348334312,9367.382939308882,28307.82089173793,0.0,0.0,0.0,0.0,0.0,0.0,58396.3974185586,0.1196839326149801,0.0265905177961857,0.1192290553624641,0.0893333421057308,0.1604102881923995,0.4847528639282395,0.0,0.0,0.0,0.0,0.0,0.0
AT0000720008,580.0,551.0,396.0,69.0,292841.0,45007.0,2020.52,379.29,10867.0,1462.9,1586.0,53.0,1.139083157246841,178112.0,2992.0,10648.0,88.0,Telekom Austria (A1 Telekom Austria),Austria,EY,Telecommunication Services,5472186594.1,3.0,6.443442131224032,6.121270024662831,17.619481414002266,0.5887972981980581,0.0126545110454689,2024.0,1234.0269980728626,959.095314770937,2700.3799604177475,1730.62976282835,2528.1530559957027,9078.327187359331,0.0,0.0,0.0,0.0,0.0,0.0,18230.612279444933,0.0676898273715267,0.0526090566827708,0.1481233827490497,0.0949298759855498,0.1386762560271331,0.4979716011839696,0.0,0.0,0.0,0.0,0.0,0.0
AT0000743059,1873.0,2775.0,1290.0,278.0,1116479.0,165449.0,5525.19,6014.23,42715.0,5616.8,5805.0,261.0,4.476620940546629,663872.0,31488.0,138744.0,328.0,OMV,Austria,KPMG,Oil & Gas – Refining & Marketing,12648304410.0,3.0,5.6603545503448185,8.386270089272223,17.543170402964055,0.7887627002883063,0.0135287035296273,2024.0,6510.679015100002,2629.792614519596,12432.075401633978,3419.59619691968,6381.19079720974,30732.72420269251,0.0,0.0,0.0,0.0,0.0,0.0,62106.058228075504,0.1048316251401832,0.0423435762878729,0.2001749226456939,0.0550605898117331,0.1027466720521167,0.4948426140624,0.0,0.0,0.0,0.0,0.0,0.0
AT0000746409,743.0,1063.0,678.0,88.0,551793.0,82646.0,4203.45,1002.36,21551.0,3255.5,2638.0,90.0,0.0448129233811171,388608.0,29952.0,66624.0,192.0,Verbund,Austria,EY,Electric Utilities & Power Generators,12335813822.0,3.0,4.495075381748663,6.431043244682138,15.959635070057836,0.54449096145004,0.0002711136859685,2024.0,3062.1998742818832,4299.391064345837,10886.02795508504,2269.85275927186,5518.142323791981,16374.803019702436,0.0,0.0,0.0,0.0,0.0,0.0,42410.41699647904,0.0722039558002014,0.101375826243415,0.2566828794913478,0.0535211139154869,0.1301128994852869,0.3861033250642617,0.0,0.0,0.0,0.0,0.0,0.0
AT0000758305,539.0,713.0,410.0,150.0,295971.0,43866.0,2024.45,1722.43,11934.0,1902.7,1517.0,36.0,0.0,222640.0,4950.0,16940.0,110.0,Palfinger,Austria,PwC,Industrial Machinery & Goods,708293656.35,1.0,6.143710390735421,8.12702320703962,17.2912962203073,0.4103405826836274,0.0,2024.0,1260.5094806849957,767.2893351018429,2333.330681413412,1331.5152233839035,3037.3121709525585,10329.589491784573,0.0,0.0,0.0,0.0,0.0,0.0,19059.546383321285,0.0661353347731322,0.0402574814568139,0.1224232011867435,0.0698608034317696,0.1593591006767329,0.5419640784748077,0.0,0.0,0.0,0.0,0.0,0.0
AT0000785555,771.0,1124.0,698.0,124.0,516003.0,78083.0,2881.6,1108.75,20230.0,2415.9,3041.0,109.0,0.0,271216.0,9782.0,27604.0,134.0,Semperit,Austria,EY,Industrial Machinery & Goods,252163807.5,1.0,4.9370541603165865,7.197469359527682,19.472868614166977,0.6979752314844461,0.0,2024.0,2411.035728335381,1122.7971706688404,3005.4838378429413,2066.660663485527,3190.743068307638,16656.06761005521,0.0,0.0,0.0,0.0,0.0,0.0,28452.788078695536,0.0847381185164304,0.0394617626772946,0.1056305564688524,0.0726347329396858,0.1121416663802011,0.5853931630175355,0.0,0.0,0.0,0.0,0.0,0.0
AT0000831706,601.0,679.0,422.0,87.0,353786.0,52341.0,2419.4,308.43,14844.0,2089.7,1400.0,83.0,0.0,222640.0,8580.0,20570.0,110.0,Wienerberger,Austria,Deloitte,Construction Materials,3056880497.3,2.0,5.741197149462181,6.486310922603695,13.373836953822051,0.7928774765480217,0.0,2024.0,1809.194219559431,1737.6707586348057,4511.966958671808,1815.008058488369,2224.999141097069,14018.569593906404,0.0,0.0,0.0,0.0,0.0,0.0,26117.408730357885,0.0692715819642739,0.0665330460833583,0.172757068101755,0.0694941859365501,0.0851921859503165,0.5367519319637462,0.0,0.0,0.0,0.0,0.0,0.0
AT0000938204,417.0,447.0,370.0,37.0,259970.0,40888.0,2178.55,949.28,9762.0,1396.4,2041.0,70.0,1.9042988620108208,190256.0,10058.0,18800.0,94.0,Mayr Melnhof Karton,Austria,PwC,Containers & Packaging,1648038400.0,2.0,5.099295636861672,5.466151438074741,24.95842300919585,0.855996869497163,0.0232867694924038,2024.0,1168.8873097896576,1028.2618820369244,2820.121526479721,1821.928553909064,1949.0666593909264,10495.552045941353,0.0,0.0,0.0,0.0,0.0,0.0,19283.81797754765,0.0606149317085758,0.0533225258210869,0.1462429032343708,0.0944796593719332,0.1010726538520662,0.5442673260119668,0.0,0.0,0.0,0.0,0.0,0.0
AT0000946652,732.0,1180.0,844.0,79.0,447108.0,65478.0,5217.9,-1333.46,18622.0,3707.2,1861.0,14.0,0.7372208116093037,412896.0,13056.0,54468.0,204.0,Schoeller-Bleckmann Oilfield Equipment,Austria,KPMG,Oil & Gas – Services,486163105.41,1.0,5.589663703839458,9.01066006903082,14.210879990225726,0.10690613641223,0.0056295306179885,2024.0,1965.006745487452,1445.0517495274544,4114.375361204147,1612.6234452724457,2567.212824553252,11430.21037042141,0.0,0.0,0.0,0.0,0.0,0.0,23134.48049646616,0.0849384426759706,0.0624631164615167,0.177846023464094,0.0697064905139658,0.1109691149081734,0.4940768119762792,0.0,0.0,0.0,0.0,0.0,0.0
