words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry
654,713,530,55,424564,64253,3401.76,-1578.58,17079,2053.2,1689,61,0.6760688365306311,232760,1150.0,14260.0,115,AMAG Austria Metall,Austria,EY,Metals & Mining
2059,1733,1472,769,1229387,198475,9484.03,-3771.82,39257,7434.7,16118,267,0.0966749267416435,696256,25456.0,143448.0,344,Raiffeisen Bank International,Austria,Deloitte,Commercial Banks
770,688,541,65,450431,68197,2530.79,2422.15,17647,2096.8,2366,60,2.3743426327501527,275264,2992.0,21352.0,136,PORR,Austria,EY,Engineering & Construction Services
210,246,22,124,907019,120791,4036.35,4072.18,34378,3185.4,5063,206,0.4002836868137819,406824,9246.0,49446.0,201,Lenzing,Austria,KPMG,Chemicals
1349,884,853,254,719443,119292,17503.42,-31264.64,22035,1960.6,9696,198,0.1210888980549736,429088,20776.0,65508.0,212,Erste Group Bank,Austria,PwC,Commercial Banks
580,551,396,69,292841,45007,2020.52,379.29,10867,1462.9,1586,53,1.139083157246841,178112,2992.0,10648.0,88,Telekom Austria (A1 Telekom Austria),Austria,EY,Telecommunication Services
1873,2775,1290,278,1116479,165449,5525.19,6014.23,42715,5616.8,5805,261,4.476620940546629,663872,31488.0,138744.0,328,OMV,Austria,KPMG,Oil & Gas – Refining & Marketing
743,1063,678,88,551793,82646,4203.45,1002.36,21551,3255.5,2638,90,0.0448129233811171,388608,29952.0,66624.0,192,Verbund,Austria,EY,Electric Utilities & Power Generators
539,713,410,150,295971,43866,2024.45,1722.43,11934,1902.7,1517,36,0.0,222640,4950.0,16940.0,110,Palfinger,Austria,PwC,Industrial Machinery & Goods
771,1124,698,124,516003,78083,2881.6,1108.75,20230,2415.9,3041,109,0.0,271216,9782.0,27604.0,134,Semperit,Austria,EY,Industrial Machinery & Goods
601,679,422,87,353786,52341,2419.4,308.43,14844,2089.7,1400,83,0.0,222640,8580.0,20570.0,110,Wienerberger,Austria,Deloitte,Construction Materials
417,447,370,37,259970,40888,2178.55,949.28,9762,1396.4,2041,70,1.9042988620108208,190256,10058.0,18800.0,94,Mayr Melnhof Karton,Austria,PwC,Containers & Packaging
732,1180,844,79,447108,65478,5217.9,-1333.46,18622,3707.2,1861,14,0.7372208116093037,412896,13056.0,54468.0,204,Schoeller-Bleckmann Oilfield Equipment,Austria,KPMG,Oil & Gas – Services
709,678,535,81,427187,65686,2354.75,1437.53,15130,1987.6,3174,72,0.0014976088082482,234784,6032.0,19372.0,116,Austrian Post,Austria,BDO,Air Freight & Logistics
850,746,570,99,390058,65532,3829.09,-818.84,14729,2663.9,3766,239,5.683841243295636,281336,4587.0,23769.0,139,Addiko Bank,Austria,KPMG,Commercial Banks
525,775,358,134,300630,44755,1801.47,83.11000000000006,11978,1466.9,1384,114,5.0443265956971794,165968,4592.0,11234.0,82,UCB,Belgium,Forvis Mazars,Biotechnology & Pharmaceuticals
502,655,372,39,221784,33556,1006.56,661.41,8297,910.8,1340,97,1.329238991290392,109296,2646.0,5508.0,54,Deceuninck,Belgium,PwC,Building Products & Furnishings
3679,4966,3640,612,2210056,329538,11032.47,7398.19,79482,11378.5,14436,358,4.637382111109156,1242736,614.0,376996.0,614,GBL Groupe Bruxelles Lambert,Belgium,PwC,Asset Management & Custody Activities
920,739,461,63,388462,58551,2977.47,752.9100000000001,16499,2386.0,1890,121,30.960205569899333,281336,22796.0,41978.0,139,Atenor,Belgium,BDO,Home Builders
591,605,378,74,247680,35238,1585.68,1004.64,10650,1572.1,1318,37,7.389686913804054,180136,13439.0,21271.0,89,Ontex,Belgium,PwC,Household & Personal Products
205,243,311,78,138471,21207,682.01,445.51,4977,662.6,928,37,0.2358525824885263,74888,5365.0,6697.0,37,AB InBev,Belgium,PwC,Alcoholic Beverages
445,412,248,46,244756,39428,1795.52,-1098.58,9298,846.1,1723,48,2.036491428840264,117392,4988.0,8294.0,58,Barco,Belgium,PwC,Hardware
784,888,574,137,412105,61291,2407.3,1617.17,16372,2130.2,3209,119,0.0,261096,14577.0,31089.0,129,Syensqo,Belgium,EY,Chemicals
561,870,472,112,305188,41855,2881.79,-2281.52,13142,1848.9,1540,57,12.276950456096198,218592,2916.0,14472.0,108,BW Offshore,Bermuda,KPMG,Marine Transportation
1127,951,776,191,617936,94180,2829.96,417.82,23608,2591.2,2717,38,2.0924038487694663,267168,5676.0,22968.0,132,Coca Cola HBC,Switzerland,PwC,Non-Alcoholic Beverages
1311,1269,1075,201,666469,100142,3424.74,2316.7,26391,3367.5,4667,146,0.1913756152442233,374440,13320.0,47360.0,185,Helvetia,Switzerland,KPMG,Insurance
334,382,309,37,177214,27488,1922.02,-1622.44,6457,945.9,1309,32,2.438169667879774,113344,8344.0,11424.0,56,dsm-firmenich,Switzerland,KPMG,Chemicals
1125,1429,1109,322,610421,90676,3073.27,2251.04,23652,2933.0,2952,20,5.31859892347342,321816,35298.0,60420.0,159,Deutsche Bank,Germany,EY,Investment Banking & Brokerage
919,1048,919,225,672329,104002,3347.85,408.05000000000007,25248,2753.7,2220,59,1.1708829797072986,313720,14105.0,37975.0,155,BMW,Germany,PwC,Automobiles
505,726,367,60,407663,64344,1726.55,2982.52,13771,1920.3,2759,55,0.0,234784,14964.0,28304.0,116,EnBW Energie Baden-Wuerttemberg,Germany,BDO,Electric Utilities & Power Generators
627,1067,758,153,498618,74785,2411.92,930.03,16677,2320.9,1836,246,0.0013103153300221,253000,12250.0,27750.0,125,Continental,Germany,PwC,Auto Parts
734,975,738,225,485651,74277,3335.63,421.5,18381,2522.4,2201,41,0.0,279312,12006.0,30912.0,138,Lanxess,Germany,KPMG,Chemicals
