isin,words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry,market_cap_2024,Market_Cap_Cat,words_pos_500,words_neg_500,nums_500,tables_500,imgsize_500
AT00000AMAG3,654.0,713.0,530.0,55.0,424564.0,64253.0,3401.76,-1578.58,17079.0,2053.2,1689.0,61.0,0.6760688365306311,232760.0,1150.0,14260.0,115.0,AMAG Austria Metall,Austria,EY,Metals & Mining,876127027.2,1.0,5.089256532768898,5.548379064012575,13.143355174077476,0.4746860068790562,0.005260990432591716
AT0000606306,2059.0,1733.0,1472.0,769.0,1229387.0,198475.0,9484.03,-3771.82,39257.0,7434.7,16118.0,267.0,0.0966749267416435,696256.0,25456.0,143448.0,344.0,Raiffeisen Bank International,Austria,Deloitte,Commercial Banks,6714497007.3,3.0,5.1870512659025065,4.365789142209346,40.60461015241214,0.6726287945585087,0.0002435443424654075
AT0000609607,770.0,688.0,541.0,65.0,450431.0,68197.0,2530.79,2422.15,17647.0,2096.8,2366.0,60.0,2.3743426327501527,275264.0,2992.0,21352.0,136.0,PORR,Austria,EY,Engineering & Construction Services,698795839.85,1.0,5.6454096221241405,5.0442101558719585,17.34680411161781,0.4399020484772057,0.017407969798892566
AT0000644505,210.0,246.0,22.0,124.0,907019.0,120791.0,4036.35,4072.18,34378.0,3185.4,5063.0,206.0,0.4002836868137819,406824.0,9246.0,49446.0,201.0,Lenzing,Austria,KPMG,Chemicals,1179337428.1,1.0,0.8692700615112053,1.0182877863416977,20.95768724491063,0.8527125365300395,0.0016569267859930868
AT0000652011,1349.0,884.0,853.0,254.0,719443.0,119292.0,17503.42,-31264.64,22035.0,1960.6,9696.0,198.0,0.1210888980549736,429088.0,20776.0,65508.0,212.0,Erste Group Bank,Austria,PwC,Commercial Banks,23970688014.0,4.0,5.654193072460853,3.705193977802367,40.63977467055628,0.8298963886932904,0.000507531511144811
AT0000720008,580.0,551.0,396.0,69.0,292841.0,45007.0,2020.52,379.29,10867.0,1462.9,1586.0,53.0,1.139083157246841,178112.0,2992.0,10648.0,88.0,Telekom Austria (A1 Telekom Austria),Austria,EY,Telecommunication Services,5472186594.1,3.0,6.443442131224032,6.121270024662831,17.619481414002266,0.5887972981980581,0.012654511045468938
AT0000743059,1873.0,2775.0,1290.0,278.0,1116479.0,165449.0,5525.19,6014.23,42715.0,5616.8,5805.0,261.0,4.476620940546629,663872.0,31488.0,138744.0,328.0,OMV,Austria,KPMG,Oil & Gas – Refining & Marketing,12648304410.0,3.0,5.6603545503448185,8.386270089272223,17.543170402964055,0.7887627002883063,0.013528703529627342
AT0000746409,743.0,1063.0,678.0,88.0,551793.0,82646.0,4203.45,1002.36,21551.0,3255.5,2638.0,90.0,0.0448129233811171,388608.0,29952.0,66624.0,192.0,Verbund,Austria,EY,Electric Utilities & Power Generators,12335813822.0,3.0,4.495075381748663,6.431043244682138,15.959635070057837,0.54449096145004,0.00027111368596857135
AT0000758305,539.0,713.0,410.0,150.0,295971.0,43866.0,2024.45,1722.43,11934.0,1902.7,1517.0,36.0,0.0,222640.0,4950.0,16940.0,110.0,Palfinger,Austria,PwC,Industrial Machinery & Goods,708293656.35,1.0,6.143710390735421,8.12702320703962,17.2912962203073,0.4103405826836274,0.0
AT0000785555,771.0,1124.0,698.0,124.0,516003.0,78083.0,2881.6,1108.75,20230.0,2415.9,3041.0,109.0,0.0,271216.0,9782.0,27604.0,134.0,Semperit,Austria,EY,Industrial Machinery & Goods,252163807.5,1.0,4.9370541603165865,7.197469359527682,19.472868614166977,0.6979752314844461,0.0
